line,label
" `` He may lose all popular support ,  but someone has to kill him to defeat him and that 's  HARD  to do. '' ",HARD1
Clever White House `` spin doctors '' are having a  HARD  time helping President Bush explain away the economic bashing that low-and middle-income workers are taking these days .,HARD1
" I find it  HARD  to believe that the Sacramento River will ever be quite the same ,  although I certainly wish that I'm wrong . ",HARD1
" Now when you get bad credit data or are confused with another person ,  the  HARD  part in correcting the mistake is not even knowing where it is recorded ,  let alone having access . ",HARD1
" 'A great share of responsibility for this national tragedy unquestionably lies with the president of the country. '-- Eduard Shevardnadze ,  former foreign minister ;  'We are so deep in this crisis that all this business about leaving the party ,  not leaving the party -- that will never get us out. '-- Natasha ,  a Moscow bookkeeper ;  'Our life is  HARD  now ,  yes ,  but it is better to be hungry and free. '-- Lena Sedykh ,  a Moscow street sweeper ;  'If you judge by astrology ,  Gorbachev is Cancer ,  and Yeltsin and Russia are Aquarius . ",HARD1
" Producers of action shows ,  like Cannell ,  are willing to make them at a bargain price to help CBS open up a new market for one-hour action shows ,  which have become  HARD  to sell in the rerun market . ",HARD1
" Voting against seeking additional sources of funds was Supervisor Ray Belgard ,  who told his colleagues ,  `` We have to face the  HARD  facts of life . ",HARD1
" It 's  HARD  to make the columns even ,  to neatly space the text inside the cells of the table ,  to adjust the table when information needs to be added ,  to make exceptions to stretch entries across several cells ,  to add periodic colors or shades to cells ,  and so on . ",HARD1
`` It may be  HARD  just to finish these remarks. '',HARD1
" Now that Amanda Blake has died ,  is it  HARD  portraying Matt Dillon without Miss Kitty ? ",HARD1
" Even though many of the university 's 30 , 638 students are more conservative and career-oriented than their '60s and '70s predecessors ,  and it 's  HARD  to drum up big crowds for a protest than it used to be ,  Telegraph retains a mystical -- if mangy -- aura . ",HARD1
" It 's  HARD  to put into words ,  but since that day I 've felt much more confident . ",HARD1
" It 's  HARD  to believe I'm seeing it start to rise out of the ground , "" Sheriff Harvey Nyland said after a groundbreaking ceremony . ",HARD1
